agencyid,agency,logcapZscore,region,countyfips5,totalDeclaration,declarationProb,Success Rate,DisasterProb,state,statefull,FTARegion,ewfreq,ewprob,ewbiggerthanDisaster,declarationRate,ewThreshold,disasterThreshold,expectedBadWeatherSeverity
8001,Utah Transit Authority,1.492470023,west,49035,2,0.00877193,0.38,0.023084026,UT,Utah,FTA Region8,2,0.067,TRUE,0.003333333,5.296399302,5.467888841,5.117929326
1001,Rhode Island Public Transit Authority,0.806947384,northeast,44007,10,0.043859649,0.5,0.087719298,RI,Rhode Island,FTA Region1,11,0.125,TRUE,0.021929825,5.294383246,5.408767998,4.951967114
4141,Central Midlands Transit,-0.88062661,south,45079,12,0.052631579,0.5,0.105263158,SC,South Carolina,FTA Region4,8,0.107,TRUE,0.02631579,5.29210583,5.382237646,4.874388965
4110,Charleston Area Regional Transportation Authority,-0.387580659,south,45019,13,0.057017544,0.5,0.114035088,SC,South Carolina,FTA Region4,8,0.107,TRUE,0.028508772,5.288746402,5.349281379,5.23910605
4100,Santee Wateree Regional Transportation Authority,-1.394944857,south,45085,14,0.061403509,0.5,0.122807018,SC,South Carolina,FTA Region4,8,0.107,TRUE,0.030701755,5.283335567,5.364525547,4.743650128
4056,Pee Dee Regional Transportation Authority,-1.268186636,south,45041,14,0.061403509,0.5,0.122807018,SC,South Carolina,FTA Region4,7,0.107,TRUE,0.030701755,5.290186485,5.355826208,4.841259047
4078,Cobb County Department of Transportation Authority,-0.414494468,south,13067,7,0.030701754,0.53,0.057927838,GA,Georgia,FTA Region4,14,0.107,TRUE,0.01627193,5.297931326,5.429275509,5.286581251
4130,Macon-Bibb County Transit Authority,-1.164734866,south,13021,6,0.026315789,0.53,0.049652432,GA,Georgia,FTA Region4,13,0.107,TRUE,0.013947368,5.278423408,5.406257913,4.617437783
4138,Gwinnett County Board of Commissioners,-0.567078875,south,13135,6,0.026315789,0.53,0.049652432,GA,Georgia,FTA Region4,13,0.107,TRUE,0.013947368,5.298109674,5.442577465,5.081217461
9045,Regional Transportation Commission of Southern Nevada,1.133009717,west,32003,4,0.01754386,0.53,0.033101623,NV,Nevada,FTA Region9,11,0.067,TRUE,0.009298246,5.281093906,5.387379122,4.374042988
4047,Athens Transit System,-1.201181507,south,13059,5,0.021929825,0.53,0.041377028,GA,Georgia,FTA Region4,11,0.107,TRUE,0.011622807,5.283954023,5.431206152,5.247710947
4022,Metropolitan Atlanta Rapid Transit Authority,1.847861249,south,13121,9,0.039473684,0.53,0.074478649,GA,Georgia,FTA Region4,11,0.107,TRUE,0.020921053,5.292234079,5.403169887,5.158904925
9001,Regional Transportation Commission of Washoe County,-0.056247633,west,32031,6,0.026315789,0.53,0.049652432,NV,Nevada,FTA Region9,9,0.067,TRUE,0.013947368,5.2986827,5.410867037,4.405124478
4025,Chatham Area Transit Authority,-0.46134677,south,13051,5,0.021929825,0.53,0.041377028,GA,Georgia,FTA Region4,4,0.107,TRUE,0.011622807,5.293129341,5.463698031,4.409675357
1057,Norwalk Transit District,-0.600578702,northeast,9001,17,0.074561404,0.56,0.133145364,CT,Connecticut,FTA Region1,16,0.125,TRUE,0.041754386,5.282555656,5.360212766,5.151772663
1040,Southeast Area Transit,-1.169055819,northeast,9011,17,0.074561404,0.56,0.133145364,CT,Connecticut,FTA Region1,9,0.125,TRUE,0.041754386,5.289949004,5.354135833,4.867840552
2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",0.163671917,northeast,36085,11,0.048245614,0.59,0.081772227,NY,New York,FTA Region2,24,0.125,TRUE,0.028464912,5.29062077,5.405457419,5.01007741
2082,New York City Department of Transportation,0.995412858,northeast,36061,7,0.030701754,0.59,0.052036871,NY,New York,FTA Region2,18,0.125,TRUE,0.018114035,5.285519777,5.473763886,4.924316561
2076,Westchester County Bee-Line System,0.94117535,northeast,36029,11,0.048245614,0.59,0.081772227,NY,New York,FTA Region2,16,0.125,TRUE,0.028464912,5.293522146,5.43277246,5.282561265
2113,"Regional Transit Service, Inc. and Lift Line, Inc.",0.47762784,northeast,36055,6,0.026315789,0.59,0.044603032,NY,New York,FTA Region2,14,0.125,TRUE,0.015526316,5.294236907,5.456730877,4.559264286
2084,Transport of Rockland,-0.493913042,northeast,36087,10,0.043859649,0.59,0.074338388,NY,New York,FTA Region2,10,0.125,TRUE,0.025877193,5.29089205,5.461088926,5.199685199
2004,Niagara Frontier Transportation Authority,0.889411154,northeast,36029,11,0.048245614,0.59,0.081772227,NY,New York,FTA Region2,6,0.125,TRUE,0.028464912,5.291598078,5.418078052,4.569635287
4043,The Wave Transit System,-0.815660847,south,1097,20,0.087719298,0.62,0.141482739,AL,Alabama,FTA Region4,23,0.107,TRUE,0.054385965,5.276212587,5.306971839,4.594013187
7015,Wichita Transit,-0.615791988,midwest,20173,8,0.035087719,0.62,0.056593095,KS,Kansas,FTA Region7,15,0.12,TRUE,0.021754386,5.29379799,5.460089978,4.708792704
4042,Birmingham-Jefferson County Transit Authority,-0.121028585,south,1073,19,0.083333333,0.62,0.134408602,AL,Alabama,FTA Region4,14,0.107,TRUE,0.051666666,5.277663821,5.324977941,4.442070059
7048,City of Lawrence,-0.994417208,midwest,20045,9,0.039473684,0.62,0.063667232,KS,Kansas,FTA Region7,13,0.12,TRUE,0.024473684,5.301039646,5.456400565,4.764507768
6056,Dallas Area Rapid Transit,1.995215555,south,48113,9,0.039473684,0.63,0.062656641,TX,Texas,FTA Region6,16,0.107,TRUE,0.024868421,5.29197799,5.399262532,4.726908775
4008,Charlotte Area Transit System,0.883091486,south,37119,4,0.01754386,0.63,0.027847397,NC,North Carolina,FTA Region4,15,0.107,TRUE,0.011052632,5.293768802,5.491194441,4.587246537
6010,"City Transit Management Company, Inc.",-0.763561861,south,48303,8,0.035087719,0.63,0.055694792,TX,Texas,FTA Region6,15,0.107,TRUE,0.022105263,5.299019828,5.439443298,4.789275764
6101,Denton County Transportation Authority,-0.242251143,south,48121,8,0.035087719,0.63,0.055694792,TX,Texas,FTA Region6,11,0.107,TRUE,0.022105263,5.30086682,5.423748865,4.547021103
6007,Fort Worth Transportation Authority,0.391958333,south,48439,10,0.043859649,0.63,0.06961849,TX,Texas,FTA Region6,11,0.107,TRUE,0.027631579,5.284924761,5.386431213,5.146651112
6012,"Waco Transit System, Inc.",-1.291726514,south,48309,7,0.030701754,0.63,0.048732943,TX,Texas,FTA Region6,10,0.107,TRUE,0.019342105,5.291292156,5.42791182,4.519195282
4014,Coast Transit Authority,-1.151491416,south,28047,12,0.052631579,0.63,0.083542189,MS,Mississippi,FTA Region4,10,0.107,TRUE,0.033157895,5.294498271,5.365643369,4.767014954
4007,Capital Area Transit,-0.109572704,south,37183,7,0.030701754,0.63,0.048732943,NC,North Carolina,FTA Region4,9,0.107,TRUE,0.019342105,5.292428397,5.444863931,5.30018202
6011,VIA Metropolitan Transit,1.119126704,south,48029,11,0.048245614,0.63,0.07658034,TX,Texas,FTA Region6,9,0.107,TRUE,0.030394737,5.28524705,5.381108669,4.50427464
6048,Capital Metropolitan Transportation Authority,1.160627508,south,48453,13,0.057017544,0.63,0.090504038,TX,Texas,FTA Region6,9,0.107,TRUE,0.035921053,5.292514957,5.383378728,4.661808043
6008,"Metropolitan Transit Authority of Harris County, Texas",1.742495161,south,48201,15,0.065789474,0.63,0.104427737,TX,Texas,FTA Region6,9,0.107,TRUE,0.041447369,5.299988565,5.344747013,4.391103875
4087,Durham Area Transit Authority,-0.301539909,south,37063,6,0.026315789,0.63,0.041771094,NC,North Carolina,FTA Region4,8,0.107,TRUE,0.016578947,5.289381161,5.430142763,4.380628186
4006,Cape Fear Public Transportation Authority,-0.974050474,south,37129,12,0.052631579,0.63,0.083542189,NC,North Carolina,FTA Region4,7,0.107,TRUE,0.033157895,5.288063579,5.378358427,5.299372019
4173,Piedmont Authority for Regional Transportation,-1.107194732,south,37081,9,0.039473684,0.63,0.062656641,NC,North Carolina,FTA Region4,6,0.107,TRUE,0.024868421,5.296850202,5.40053754,4.826451755
6014,City of Brownsville - Brownsville Metro,-1.084482782,south,48061,12,0.052631579,0.63,0.083542189,TX,Texas,FTA Region6,5,0.107,TRUE,0.033157895,5.294229132,5.395467264,4.617055268
6009,"Laredo Transit Management, Inc.",-0.584169959,south,48479,9,0.039473684,0.63,0.062656641,TX,Texas,FTA Region6,3,0.107,TRUE,0.024868421,5.28371382,5.407163802,4.739820022
5022,Toledo Area Regional Transit Authority,-0.19143779,midwest,39095,5,0.021929825,0.64,0.034265352,OH,Ohio,FTA Region5,18,0.12,TRUE,0.014035088,5.276016398,5.482390022,5.128081253
5010,METRO Regional Transit Authority,0.105024861,midwest,39153,7,0.030701754,0.64,0.047971491,OH,Ohio,FTA Region5,14,0.12,TRUE,0.019649123,5.279655946,5.430780749,4.416621025
5117,Laketran,-0.690790494,midwest,39085,5,0.021929825,0.64,0.034265352,OH,Ohio,FTA Region5,13,0.12,TRUE,0.014035088,5.280355942,5.44602253,5.017640242
5015,The Greater Cleveland Regional Transit Authority,1.31277334,midwest,39035,8,0.035087719,0.64,0.054824561,OH,Ohio,FTA Region5,12,0.12,TRUE,0.02245614,5.291712931,5.430927149,4.65131865
5011,Stark Area Regional Transit Authority,-0.453701678,midwest,39151,7,0.030701754,0.64,0.047971491,OH,Ohio,FTA Region5,9,0.12,TRUE,0.019649123,5.300216628,5.463409019,4.956487376
5017,Greater Dayton Regional Transit Authority,0.36833196,midwest,39113,7,0.030701754,0.64,0.047971491,OH,Ohio,FTA Region5,9,0.12,TRUE,0.019649123,5.277337426,5.44494093,4.587990035
5024,Western Reserve Transit Authority,-0.860642838,midwest,39099,6,0.026315789,0.64,0.04111842,OH,Ohio,FTA Region5,5,0.12,TRUE,0.016842105,5.287794512,5.447829813,4.68327602
6033,Central Arkansas Transit Authority,-0.491700549,south,5119,12,0.052631579,0.65,0.08097166,AR,Arkansas,FTA Region6,10,0.107,TRUE,0.034210526,5.282225053,5.350314002,4.68057815
7006,"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, d.b.a.",1.373206216,midwest,29510,0,0,0.67,0,MO,Missouri,FTA Region7,16,0.12,TRUE,0,5.282888571,5.599903285,5.032476115
7016,Columbia Transit,-1.167233089,midwest,29019,17,0.074561404,0.67,0.111285678,MO,Missouri,FTA Region7,13,0.12,TRUE,0.049956141,5.286985779,5.352496751,4.771594875
6019,City of Albuquerque Transit Department,0.170543059,west,35001,3,0.013157895,0.67,0.019638649,NM,New Mexico,FTA Region6,11,0.067,TRUE,0.00881579,5.275732651,5.428286167,5.109256196
7003,City Utilities of Springfield,-0.9053719,midwest,29077,17,0.074561404,0.67,0.111285678,MO,Missouri,FTA Region7,8,0.12,TRUE,0.049956141,5.298689234,5.361820251,4.783353063
6111,Rio Metro Regional Transit District,-0.020044221,west,35001,3,0.013157895,0.67,0.019638649,NM,New Mexico,FTA Region6,5,0.067,TRUE,0.00881579,5.283260663,5.459742651,5.000500019
3085,Prince George's County Transit,-0.174815337,south,24033,10,0.043859649,0.68,0.064499484,MD,Maryland,FTA Region3,14,0.107,TRUE,0.029824561,5.290522768,5.379259829,4.868629437
3051,Ride-On Montgomery County Transit,0.775566087,south,24031,12,0.052631579,0.68,0.077399381,MD,Maryland,FTA Region3,14,0.107,TRUE,0.035789474,5.277754951,5.379410051,4.825897719
3072,Transit Services of Frederick County,-1.21925063,south,24021,10,0.043859649,0.68,0.064499484,MD,Maryland,FTA Region3,12,0.107,TRUE,0.029824561,5.280180992,5.362149719,4.690490091
3034,Maryland Transit Administration,1.943459304,south,24510,0,0,0.68,0,MD,Maryland,FTA Region3,8,0.107,TRUE,0,5.283972034,5.587666415,5.080564406
5057,Rock Island County Metropolitan Mass Transit District,-0.445013974,midwest,17161,5,0.021929825,0.69,0.031782355,IL,Illinois,FTA Region5,20,0.12,TRUE,0.015131579,5.287470751,5.518134482,4.643274012
5066,Chicago Transit Authority,2.491506399,midwest,17031,7,0.030701754,0.69,0.044495296,IL,Illinois,FTA Region5,18,0.12,TRUE,0.02118421,5.280454694,5.466163034,4.719548932
5056,Greater Peoria Mass Transit District,-0.215963585,midwest,17143,6,0.026315789,0.69,0.038138825,IL,Illinois,FTA Region5,17,0.12,TRUE,0.018157894,5.29955599,5.479709496,5.026857884
5058,Rockford Mass Transit District,-0.554425243,midwest,17201,9,0.039473684,0.69,0.057208238,IL,Illinois,FTA Region5,15,0.12,TRUE,0.027236842,5.291549272,5.434092332,5.167357021
5118,Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail,2.028222426,midwest,17031,7,0.030701754,0.69,0.044495296,IL,Illinois,FTA Region5,13,0.12,TRUE,0.02118421,5.299886954,5.462928659,4.371692136
5146,Madison County Transit District,-0.28142453,midwest,17119,4,0.01754386,0.69,0.025425884,IL,Illinois,FTA Region5,12,0.12,TRUE,0.012105263,5.279590058,5.4905683,4.43311756
5047,Bloomington-Normal Public Transit System,-0.864766521,midwest,17113,4,0.01754386,0.69,0.025425884,IL,Illinois,FTA Region5,10,0.12,TRUE,0.012105263,5.280536748,5.498434592,4.764267838
5059,Springfield Mass Transit District,-0.629257591,midwest,17167,5,0.021929825,0.69,0.031782355,IL,Illinois,FTA Region5,9,0.12,TRUE,0.015131579,5.285368806,5.528914837,5.261815189
5060,Champaign-Urbana Mass Transit District,-0.052918127,midwest,17019,3,0.013157895,0.69,0.019069413,IL,Illinois,FTA Region5,3,0.12,TRUE,0.009078948,5.290522716,5.556708396,5.013563325
4029,Broward County Transit Division,0.866136725,south,12011,14,0.061403509,0.7,0.087719299,FL,Florida,FTA Region4,20,0.107,TRUE,0.042982456,5.287836434,5.358493984,4.727794676
5004,LaCrosse Municipal Transit Utility,-1.241111742,midwest,55063,8,0.035087719,0.7,0.050125313,WI,Wisconsin,FTA Region5,19,0.12,TRUE,0.024561403,5.299207393,5.425516243,4.893799564
5001,City of Appleton - Valley Transit,-0.955526874,midwest,55087,3,0.013157895,0.7,0.018796993,WI,Wisconsin,FTA Region5,17,0.12,TRUE,0.009210526,5.283681952,5.514200911,4.905042676
4031,Lakeland Area Mass Transit District,-0.920652355,south,12105,13,0.057017544,0.7,0.081453634,FL,Florida,FTA Region4,17,0.107,TRUE,0.039912281,5.290268188,5.37582885,5.125763997
9151,Southern California Regional Rail Authority dba: Metrolink,1.170708826,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,16,0.067,TRUE,0.018421052,5.287999969,5.371862666,4.97312671
4037,"Board of County Commissioners, Palm Beach County, PalmTran, Inc.",0.572788759,south,12099,14,0.061403509,0.7,0.087719299,FL,Florida,FTA Region4,16,0.107,TRUE,0.042982456,5.289349665,5.345405058,5.226115512
4027,Pinellas Suncoast Transit Authority,0.403995953,south,12103,10,0.043859649,0.7,0.062656641,FL,Florida,FTA Region4,15,0.107,TRUE,0.030701754,5.295651335,5.433282214,5.26141618
9015,San Francisco Municipal Railway,2.062242298,west,6075,1,0.004385965,0.7,0.006265664,CA,California,FTA Region9,14,0.067,TRUE,0.003070176,5.278409227,5.397630674,4.992399092
5006,Belle Urban System - Racine,-0.918762523,midwest,55101,8,0.035087719,0.7,0.050125313,WI,Wisconsin,FTA Region5,14,0.12,TRUE,0.024561403,5.29607514,5.418649243,4.969936767
5005,Metro Transit System,0.29538304,midwest,55025,9,0.039473684,0.7,0.056390977,WI,Wisconsin,FTA Region5,14,0.12,TRUE,0.027631579,5.274842613,5.413444061,5.048986589
9208,Butte County Association of Governments,-0.93098225,west,6007,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,12,0.067,TRUE,0.012280702,5.275239352,5.373893515,4.531872214
9031,Riverside Transit Agency,0.303482857,west,6065,7,0.030701754,0.7,0.043859649,CA,California,FTA Region9,12,0.067,TRUE,0.021491228,5.276294468,5.32642608,4.730855917
9079,SunLine Transit Agency,-0.250644816,west,6065,7,0.030701754,0.7,0.043859649,CA,California,FTA Region9,12,0.067,TRUE,0.021491228,5.284611442,5.340304879,5.039452282
4140,Collier Area Transit,-0.891562641,south,12021,17,0.074561404,0.7,0.106516291,FL,Florida,FTA Region4,12,0.107,TRUE,0.052192983,5.294780131,5.341048544,5.275411481
9012,San Joaquin Regional Transit District,-0.089931088,west,6077,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,11,0.067,TRUE,0.012280702,5.290888304,5.442085736,4.672607671
9087,Santa Maria Area Transit,-1.187325542,west,6083,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,11,0.067,TRUE,0.018421052,5.268253156,5.344861032,4.850396269
5002,Green Bay Metro,-1.032148647,midwest,55009,2,0.00877193,0.7,0.012531329,WI,Wisconsin,FTA Region5,10,0.12,TRUE,0.006140351,5.295000443,5.536317136,5.21724206
4063,Space Coast Area Transit,-0.775084979,south,12009,13,0.057017544,0.7,0.081453634,FL,Florida,FTA Region4,10,0.107,TRUE,0.039912281,5.294732065,5.375190935,4.512962328
9027,Fresno Area Express,0.21755545,west,6019,2,0.00877193,0.7,0.012531329,CA,California,FTA Region9,9,0.067,TRUE,0.006140351,5.280561729,5.446736303,4.882555288
9013,Santa Clara Valley Transportation Authority,1.598735372,west,6085,3,0.013157895,0.7,0.018796993,CA,California,FTA Region9,9,0.067,TRUE,0.009210526,5.295257894,5.430886777,4.813094385
9182,Altamont Corridor Express,-0.437858952,west,6077,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,9,0.067,TRUE,0.012280702,5.286320426,5.426670707,5.115100684
4030,Gainesville Regional Transit System,-0.249073905,south,12001,10,0.043859649,0.7,0.062656641,FL,Florida,FTA Region4,9,0.107,TRUE,0.030701754,5.290175972,5.425300104,5.042927034
4028,Lee County Transit,-0.334766458,south,12071,13,0.057017544,0.7,0.081453634,FL,Florida,FTA Region4,9,0.107,TRUE,0.039912281,5.285760973,5.377483085,5.286683705
9147,City of Los Angeles Department of Transportation,0.52060753,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,8,0.067,TRUE,0.018421052,5.284859259,5.331414576,5.09677233
9090,Yolo County Transportation District,-0.766001109,west,6113,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,7,0.067,TRUE,0.015350877,5.29014962,5.364422105,4.904167586
9162,The Eastern Contra Costa Transit Authority,-0.321692468,west,6013,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,7,0.067,TRUE,0.015350877,5.282552761,5.359171168,4.309615019
5096,City of Waukesha Transit Commission,-0.893377488,midwest,55133,6,0.026315789,0.7,0.037593984,WI,Wisconsin,FTA Region5,7,0.12,TRUE,0.018421052,5.286226205,5.451168257,4.758127347
9003,San Francisco Bay Area Rapid Transit District,1.970242279,west,6001,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,7,0.067,TRUE,0.018421052,5.27788647,5.332996462,4.888614155
9171,Santa Clarita Transit,-0.307757119,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,7,0.067,TRUE,0.018421052,5.293692832,5.392059199,4.368229578
9035,Gold Coast Transit,-0.453111128,west,6111,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,6,0.067,TRUE,0.012280702,5.271294961,5.343498592,4.422361855
