agencyid,agency,logcapZscore,region,countyfips5,totalDeclaration,declarationProb,Success Rate,DisasterProb,state,statefull,FTARegion,ewfreq,ewprob,ewbiggerthanDisaster,declarationRate,ewThreshold,disasterThreshold,expectedBadWeatherSeverity
9205,City of Elk Grove,-0.924289441,west,6067,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,6,0.067,TRUE,0.015350877,5.285128775,5.396680582,4.607159928
9144,Livermore / Amador Valley Transit Authority,-0.609953442,west,6001,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,6,0.067,TRUE,0.018421052,5.286447598,5.388015296,4.856093825
9146,Foothill Transit,0.430349712,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,6,0.067,TRUE,0.018421052,5.275300547,5.358650761,4.560338687
4046,Sarasota County Area Transit,-0.293483515,south,12115,15,0.065789474,0.7,0.093984963,FL,Florida,FTA Region4,6,0.107,TRUE,0.046052632,5.284112318,5.346312703,4.422019987
9026,San Diego Metropolitan Transit System,1.293245815,west,6073,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,5,0.067,TRUE,0.018421052,5.288466765,5.35332531,4.932965396
9030,North County Transit District,0.586243821,west,6073,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,5,0.067,TRUE,0.018421052,5.284852202,5.355411641,4.991191897
5008,Milwaukee County Transit System,1.001819897,midwest,55079,8,0.035087719,0.7,0.050125313,WI,Wisconsin,FTA Region5,5,0.12,TRUE,0.024561403,5.286477954,5.474184168,5.256724678
9078,Central Contra Costa Transit Authority,-0.056138568,west,6013,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,4,0.067,TRUE,0.015350877,5.282615978,5.371391779,4.63320622
9004,Golden Empire Transit District,-0.194003115,west,6029,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,4,0.067,TRUE,0.018421052,5.282338751,5.364009578,5.028132959
9008,Santa Monica's Big Blue Bus,0.440444067,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,4,0.067,TRUE,0.018421052,5.286051252,5.351113979,4.784229428
9148,Victor Valley Transit Authority,-0.637437211,west,6071,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,4,0.067,TRUE,0.018421052,5.276612906,5.345565196,4.813448753
4032,"County of Volusia, dba: VOTRAN",-0.380372258,south,12127,15,0.065789474,0.7,0.093984963,FL,Florida,FTA Region4,4,0.107,TRUE,0.046052632,5.295574987,5.377828856,5.16980683
9061,Yuba-Sutter Transit Authority,-1.16010371,west,6115,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,3,0.067,TRUE,0.012280702,5.279665648,5.40368712,4.950297913
9036,Orange County Transportation Authority,1.388811283,west,6059,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,3,0.067,TRUE,0.015350877,5.288891021,5.379525187,4.649116772
9014,Alameda-Contra Costa Transit District,1.544879528,west,6001,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,3,0.067,TRUE,0.018421052,5.272772787,5.363772856,4.38852538
9039,Culver City Municipal Bus Lines,-0.333612285,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,3,0.067,TRUE,0.018421052,5.285356677,5.349925762,5.14886649
4035,Central Florida Regional Transportation Authority,0.84940236,south,12095,12,0.052631579,0.7,0.07518797,FL,Florida,FTA Region4,3,0.107,TRUE,0.036842105,5.289634343,5.366334218,4.931285052
9091,City of Visalia - Visalia City Coach,-0.942368487,west,6107,3,0.013157895,0.7,0.018796993,CA,California,FTA Region9,2,0.067,TRUE,0.009210526,5.292740598,5.393469964,4.41596391
9019,Sacramento Regional Transit District,0.967301238,west,6067,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,2,0.067,TRUE,0.015350877,5.291931383,5.400922003,4.941466476
9159,Western Contra Costa Transit Authority,-0.899844713,west,6013,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,2,0.067,TRUE,0.015350877,5.292009815,5.387701632,4.560588457
9206,San Luis Obispo Regional Transit Authority,-0.887497066,west,6079,7,0.030701754,0.7,0.043859649,CA,California,FTA Region9,2,0.067,TRUE,0.021491228,5.283875734,5.368817764,4.843288038
4040,Jacksonville Transportation Authority,0.616221016,south,12031,13,0.057017544,0.7,0.081453634,FL,Florida,FTA Region4,2,0.107,TRUE,0.039912281,5.284888486,5.373527302,5.08998053
4036,City of Tallahassee,-0.485188952,south,12073,15,0.065789474,0.7,0.093984963,FL,Florida,FTA Region4,2,0.107,TRUE,0.046052632,5.296002297,5.355962434,4.937470853
9164,Ventura Intercity Service Transit Authority,-0.908384867,west,6111,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,0,0.067,TRUE,0.012280702,5.290189258,5.407017404,4.767113752
9017,City of Santa Rosa,-0.727345244,west,6097,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,0,0.067,TRUE,0.015350877,5.286058355,5.374970194,5.013048661
9154,Los Angeles County Metropolitan Transportation Authority dba: Metro,2.551389826,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,0,0.067,TRUE,0.018421052,5.287433649,5.361251578,4.281781537
5032,Mass Transportation Authority,-0.057776454,midwest,26049,3,0.013157895,0.72,0.018274854,MI,Michigan,FTA Region5,17,0.12,TRUE,0.009473684,5.28280056,5.549075588,5.07689849
5031,Suburban Mobility Authority for Regional Transportation,0.761663794,midwest,26163,4,0.01754386,0.72,0.024366472,MI,Michigan,FTA Region5,17,0.12,TRUE,0.012631579,5.29572185,5.510139069,4.669371825
5036,Capital Area Transportation Authority,0.138785386,midwest,26065,4,0.01754386,0.72,0.024366472,MI,Michigan,FTA Region5,15,0.12,TRUE,0.012631579,5.293389532,5.480243004,4.930378336
2098,Port Authority Trans-Hudson Corporation,1.615594973,northeast,34017,9,0.039473684,0.72,0.054824561,NJ,New Jersey,FTA Region2,14,0.125,TRUE,0.028421052,5.290417413,5.430473435,4.483438279
4019,Transit Authority of Northern Kentucky,-0.330489479,south,21117,7,0.030701754,0.72,0.042641325,KY,Kentucky,FTA Region4,13,0.107,TRUE,0.022105263,5.301234329,5.444217248,4.631749598
4018,Transit Authority of River City,0.519718522,south,21111,10,0.043859649,0.72,0.060916179,KY,Kentucky,FTA Region4,11,0.107,TRUE,0.031578947,5.279971322,5.385245116,4.875065746
6017,Central Oklahoma Transportation and Parking Authority,-0.234671573,south,40109,20,0.087719298,0.72,0.121832358,OK,Oklahoma,FTA Region6,11,0.107,TRUE,0.063157895,5.293573306,5.334654521,5.03295427
5148,Blue Water Area Transportation Commission,-0.792585456,midwest,26147,3,0.013157895,0.72,0.018274854,MI,Michigan,FTA Region5,10,0.12,TRUE,0.009473684,5.272084648,5.548492819,5.07170859
5033,Interurban Transit Partnership,0.139829371,midwest,26081,4,0.01754386,0.72,0.024366472,MI,Michigan,FTA Region5,8,0.12,TRUE,0.012631579,5.284272763,5.550153001,5.240636598
5040,Ann Arbor Transportation Authority,-0.05657495,midwest,26161,3,0.013157895,0.72,0.018274854,MI,Michigan,FTA Region5,5,0.12,TRUE,0.009473684,5.285488254,5.501891425,4.953497893
5035,Kalamazoo Metro Transit System,-0.629973829,midwest,26077,2,0.00877193,0.72,0.012183236,MI,Michigan,FTA Region5,4,0.12,TRUE,0.00631579,5.280898067,5.575680416,4.97671754
5141,Detroit Transportation Corporation,-0.695513588,midwest,26163,4,0.01754386,0.72,0.024366472,MI,Michigan,FTA Region5,4,0.12,TRUE,0.012631579,5.292200558,5.523194192,5.19492216
3083,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",0.654095484,south,51650,0,0,0.73,0,VA,Virginia,FTA Region3,19,0.107,TRUE,0,5.293309171,5.497498685,4.525486893
7002,Transit Authority of Omaha,-0.153885801,midwest,31055,10,0.043859649,0.73,0.060081711,NE,Nebraska,FTA Region7,17,0.12,TRUE,0.032017544,5.29109264,5.406960132,5.241474013
3091,Blacksburg Transit,-1.14562689,south,51121,8,0.035087719,0.73,0.048065368,VA,Virginia,FTA Region3,15,0.107,TRUE,0.025614035,5.296983344,5.423939927,4.81250179
3070,Potomac and Rappahannock Transportation Commission,-0.095805233,south,51153,10,0.043859649,0.73,0.060081711,VA,Virginia,FTA Region3,15,0.107,TRUE,0.032017544,5.290174535,5.423631706,5.030446027
3094,City of Harrisonburg Department of Public Transportation,-1.481519086,south,51660,0,0,0.73,0,VA,Virginia,FTA Region3,14,0.107,TRUE,0,5.291947043,5.584010118,4.740438273
3008,Greater Lynchburg Transit Company,-1.126725279,south,51680,5,0.021929825,0.73,0.030040856,VA,Virginia,FTA Region3,13,0.107,TRUE,0.016008772,5.277977364,5.459801534,4.548504875
7001,StarTran,-0.748864853,midwest,31109,6,0.026315789,0.73,0.036049026,NE,Nebraska,FTA Region7,12,0.12,TRUE,0.019210526,5.293943226,5.481281906,4.888877057
3073,Virginia Railway Express,0.447114536,south,51510,0,0,0.73,0,VA,Virginia,FTA Region3,12,0.107,TRUE,0,5.30200925,5.694648958,4.85890336
3080,Arlington Transit - Arlington County,-0.673477688,south,51013,11,0.048245614,0.73,0.066089882,VA,Virginia,FTA Region3,9,0.107,TRUE,0.035219298,5.29206106,5.390686191,5.006692827
3045,"JAUNT, Inc.",-1.218390791,south,51540,0,0,0.73,0,VA,Virginia,FTA Region3,7,0.107,TRUE,0,5.283957313,5.685134972,4.759896556
40,Central Puget Sound Regional Transit Authority,1.343412211,west,53033,10,0.043859649,0.74,0.059269796,WA,Washington,FTA Region10,18,0.067,TRUE,0.03245614,5.284343777,5.335124662,4.474220059
9219,Northern Arizona Intergovernmental Public Transportation Authority,-1.133724234,west,4005,5,0.021929825,0.74,0.029634899,AZ,Arizona,FTA Region9,12,0.067,TRUE,0.016228071,5.280965415,5.37136886,4.541353001
21,Whatcom Transportation Authority,-0.253651406,west,53073,6,0.026315789,0.74,0.035561877,WA,Washington,FTA Region10,10,0.067,TRUE,0.019473684,5.288674918,5.370948019,4.296086703
3,Pierce County Transportation Benefit Area Authority,0.762394199,west,53053,7,0.030701754,0.74,0.041488857,WA,Washington,FTA Region10,10,0.067,TRUE,0.022719298,5.286083771,5.325138824,4.800672211
6,Yakima Transit,-0.972941601,west,53077,3,0.013157895,0.74,0.017780939,WA,Washington,FTA Region10,9,0.067,TRUE,0.009736842,5.291280486,5.412152325,4.889468851
1,King County Department of Transportation - Metro Transit Division,1.998703132,west,53033,10,0.043859649,0.74,0.059269796,WA,Washington,FTA Region10,9,0.067,TRUE,0.03245614,5.278748032,5.302455782,4.337221629
9172,City of Tempe Transit Division - dba Valley Metro,0.046451654,west,4013,4,0.01754386,0.74,0.023707919,AZ,Arizona,FTA Region9,8,0.067,TRUE,0.012982456,5.285448484,5.369065353,5.10580179
19,Intercity Transit,-0.015799129,west,53067,8,0.035087719,0.74,0.047415836,WA,Washington,FTA Region10,8,0.067,TRUE,0.025964912,5.276953981,5.334244767,4.799842031
23,City of Seattle - Seattle Center Monorail Transit,-1.554091495,west,53033,10,0.043859649,0.74,0.059269796,WA,Washington,FTA Region10,7,0.067,TRUE,0.03245614,5.264826612,5.29046524,4.521260198
9033,City of Tucson,0.504062491,west,4019,2,0.00877193,0.74,0.011853959,AZ,Arizona,FTA Region9,6,0.067,TRUE,0.006491228,5.286534243,5.413972553,5.070910025
24,Clark County Public Transportation Benefit Area Authority,0.140969377,west,53011,5,0.021929825,0.74,0.029634899,WA,Washington,FTA Region10,6,0.067,TRUE,0.016228071,5.280754929,5.39918662,4.853465857
20,Kitsap Transit,-0.058170139,west,53035,4,0.01754386,0.74,0.023707919,WA,Washington,FTA Region10,5,0.067,TRUE,0.012982456,5.27814375,5.386271629,5.190406817
5,Everett Transit,-0.37558583,west,53061,11,0.048245614,0.74,0.065196776,WA,Washington,FTA Region10,5,0.067,TRUE,0.035701754,5.283228855,5.306763772,4.65031029
5104,Northern Indiana Commuter Transportation District,0.134790269,midwest,18127,7,0.030701754,0.76,0.040397045,IN,Indiana,FTA Region5,18,0.12,TRUE,0.023333333,5.272881402,5.463018502,4.646591856
5051,Greater Lafayette Public Transportation Corporation,-0.774069584,midwest,18157,7,0.030701754,0.76,0.040397045,IN,Indiana,FTA Region5,16,0.12,TRUE,0.023333333,5.29258023,5.469599388,4.832765241
5050,Indianapolis and Marion County Public Transportation,0.3934581,midwest,18097,11,0.048245614,0.76,0.063481071,IN,Indiana,FTA Region5,14,0.12,TRUE,0.036666667,5.285238583,5.385960086,4.548897392
5044,Fort Wayne Public Transportation Corporation,-0.717246025,midwest,18003,9,0.039473684,0.76,0.051939058,IN,Indiana,FTA Region5,11,0.12,TRUE,0.03,5.290647661,5.45963516,4.61480935
5052,South Bend Public Transportation Corporation,-0.813976478,midwest,18141,8,0.035087719,0.76,0.046168051,IN,Indiana,FTA Region5,8,0.12,TRUE,0.026666666,5.287958149,5.44122809,4.74478985
5154,Metropolitan Council,0.455750596,midwest,27123,7,0.030701754,0.78,0.039361223,MN,Minnesota,FTA Region5,11,0.12,TRUE,0.023947368,5.279077112,5.50013019,4.562060009
1003,Massachusetts Bay Transportation Authority,2.60592746,northeast,25025,18,0.078947368,0.79,0.099933377,MA,Massachusetts,FTA Region1,20,0.125,TRUE,0.062368421,5.295530424,5.377652223,4.699703067
3022,Port Authority of Allegheny County,1.597812332,northeast,42003,6,0.026315789,0.79,0.033311125,PA,Pennsylvania,FTA Region3,16,0.125,TRUE,0.020789473,5.282278524,5.521315429,4.513486561
1013,Merrimack Valley Regional Transit Authority,-0.569039697,northeast,25009,22,0.096491228,0.79,0.122140795,MA,Massachusetts,FTA Region1,16,0.125,TRUE,0.07622807,5.291741789,5.324474689,5.024355822
3018,Red Rose Transit Authority,-0.474664028,northeast,42071,11,0.048245614,0.79,0.061070397,PA,Pennsylvania,FTA Region3,15,0.125,TRUE,0.038114035,5.286533665,5.408637678,4.859590604
3019,Southeastern Pennsylvania Transportation Authority,2.412206328,northeast,42101,14,0.061403509,0.79,0.077725961,PA,Pennsylvania,FTA Region3,15,0.125,TRUE,0.048508772,5.290462774,5.419441749,4.5201589
3012,Cambria County Transit Authority,-0.86993865,northeast,42021,7,0.030701754,0.79,0.03886298,PA,Pennsylvania,FTA Region3,14,0.125,TRUE,0.024254386,5.301286601,5.456360075,4.738129005
3015,Luzerne County Transportation Authority,-0.734541879,northeast,42079,11,0.048245614,0.79,0.061070397,PA,Pennsylvania,FTA Region3,14,0.125,TRUE,0.038114035,5.296989643,5.425130303,5.215981691
1064,Greater Attleboro-Taunton Regional Transit Authority,-0.6315112,northeast,25005,17,0.074561404,0.79,0.094381524,MA,Massachusetts,FTA Region1,14,0.125,TRUE,0.058903509,5.300462476,5.367814211,5.138747222
3023,Beaver County Transit Authority,-1.070938675,northeast,42007,5,0.021929825,0.79,0.027759272,PA,Pennsylvania,FTA Region3,13,0.125,TRUE,0.017324562,5.277083805,5.489548293,5.233879109
3027,York County Transportation Authority,-0.510421352,northeast,42133,10,0.043859649,0.79,0.055518543,PA,Pennsylvania,FTA Region3,13,0.125,TRUE,0.034649123,5.282147679,5.411595061,4.840747013
3025,County of Lackawanna Transit System,-0.775529702,northeast,42069,11,0.048245614,0.79,0.061070397,PA,Pennsylvania,FTA Region3,12,0.125,TRUE,0.038114035,5.288142081,5.410805971,4.594183191
3013,Erie Metropolitan Transit Authority,-0.439939589,northeast,42049,4,0.01754386,0.79,0.022207418,PA,Pennsylvania,FTA Region3,11,0.125,TRUE,0.013859649,5.283992013,5.554149307,5.127518352
1008,Pioneer Valley Transit Authority,0.094663571,northeast,25013,16,0.070175439,0.79,0.08882967,MA,Massachusetts,FTA Region1,11,0.125,TRUE,0.055438597,5.281202459,5.365736336,5.050533622
3044,Westmoreland County Transit Authority,-1.188733606,northeast,42129,7,0.030701754,0.79,0.03886298,PA,Pennsylvania,FTA Region3,10,0.125,TRUE,0.024254386,5.274703512,5.47190189,4.405480001
3010,Lehigh and Northampton Transportation Authority,-0.036916005,northeast,42077,9,0.039473684,0.79,0.049966689,PA,Pennsylvania,FTA Region3,8,0.125,TRUE,0.03118421,5.287110264,5.454257907,5.00497705
3024,Berks Area Reading Transportation Authority,-0.503429971,northeast,42011,11,0.048245614,0.79,0.061070397,PA,Pennsylvania,FTA Region3,8,0.125,TRUE,0.038114035,5.293172613,5.419746974,4.874011418
1061,Montachusett Regional Transit Authority,-0.616995928,northeast,25027,20,0.087719298,0.79,0.111037086,MA,Massachusetts,FTA Region1,6,0.125,TRUE,0.069298245,5.277801238,5.335648114,4.583776913
3054,Centre Area Transportation Authority,-0.62650208,northeast,42027,7,0.030701754,0.79,0.03886298,PA,Pennsylvania,FTA Region3,4,0.125,TRUE,0.024254386,5.287193611,5.468637392,4.686801432
4001,Chattanooga Area Regional Transportation Authority,-0.413900211,south,47065,6,0.026315789,0.8,0.032894736,TN,Tennessee,FTA Region4,16,0.107,TRUE,0.021052631,5.301882704,5.42621527,4.430909959
4004,Metropolitan Transit Authority,0.397581965,south,47037,7,0.030701754,0.8,0.038377193,TN,Tennessee,FTA Region4,12,0.107,TRUE,0.024561403,5.291673874,5.475803444,4.391259831
4003,Memphis Area Transit Authority,0.322781947,south,47157,13,0.057017544,0.8,0.07127193,TN,Tennessee,FTA Region4,12,0.107,TRUE,0.045614035,5.285130992,5.361671649,4.464710824
4002,Knoxville Area Transit,-0.321304152,south,47093,7,0.030701754,0.8,0.038377193,TN,Tennessee,FTA Region4,6,0.107,TRUE,0.024561403,5.284103506,5.43060029,4.448605817
3075,Delaware Transit Corporation,0.829258829,northeast,10001,8,0.035087719,0.82,0.042789901,DE,Delaware,FTA Region3,10,0.125,TRUE,0.02877193,5.293282404,5.493613176,5.235375934
6024,Shreveport Area Transit System,-0.579595041,south,22017,11,0.048245614,0.84,0.057435255,LA,Louisiana,FTA Region6,10,0.107,TRUE,0.040526316,5.309571056,5.396531195,4.807291903
6022,Capital Area Transit System,-0.474095387,south,22033,15,0.065789474,0.84,0.078320802,LA,Louisiana,FTA Region6,7,0.107,TRUE,0.055263158,5.302330375,5.371218326,4.524615505
8005,Mountain Metropolitan Transit,-0.508453009,west,8041,6,0.026315789,0.86,0.030599755,CO,Colorado,FTA Region8,12,0.067,TRUE,0.022631579,5.288358785,5.340870216,4.988650919
8006,Denver Regional Transportation District,1.847711937,west,8031,6,0.026315789,0.86,0.030599755,CO,Colorado,FTA Region8,10,0.067,TRUE,0.022631579,5.291779501,5.414312986,4.846088249
8011,Transfort,-0.898317413,west,8069,6,0.026315789,0.86,0.030599755,CO,Colorado,FTA Region8,10,0.067,TRUE,0.022631579,5.278332341,5.389980066,4.935246841
25,Salem Area Mass Transit District,-0.014752278,west,41047,4,0.01754386,0.88,0.019936205,OR,Oregon,FTA Region10,9,0.067,TRUE,0.015438597,5.276915522,5.383762463,5.184818929
3030,Washington Metropolitan Area Transit Authority,2.614495288,south,11001,14,0.061403509,0.88,0.069776715,DC,District of Columbia,FTA Region3,7,0.107,TRUE,0.054035088,5.298429091,5.390583275,4.735784599
7,Lane Transit District,0.196178393,west,41039,7,0.030701754,0.88,0.034888357,OR,Oregon,FTA Region10,6,0.067,TRUE,0.027017544,5.278468816,5.337713295,4.529013665
3001,Kanawha Valley Regional Transportation Authority,-0.705518447,south,54039,17,0.074561404,0.94,0.079320643,WV,West Virginia,FTA Region3,19,0.107,TRUE,0.07008772,5.282897879,5.336063226,4.713817383
